DMACode,DMA,LongDMA,NielsenDMA
592,"Gainesville, FL","Gainesville, FL",GAINESVILLE
596,"Zanesville, OH","Zanesville, OH",ZANESVILLE
597,"Parkersburg, WV","Parkersburg, WV",PARKERSBURG
598,"Clarksburg, WV","Clarksburg-Weston, WV",CLARKSBURG-WESTON
600,"Corpus Christi, TX","Corpus Christi, TX",CORPUS CHRISTI
602,"Chicago, IL","Chicago, IL",CHICAGO
603,"Joplin, MO","Joplin-Pittsburg, MO-KS",JOPLIN-PITTSBURG
604,"Columbia, MO","Columbia-Jefferson City, MO",COLUMBIA-JEFFERSON CITY
605,"Topeka, KS","Topeka, KS",TOPEKA
606,"Dothan, AL","Dothan, AL",DOTHAN
609,"St. Louis, MO","St. Louis, MO",ST. LOUIS
610,"Rockford, IL","Rockford, IL",ROCKFORD
611,"Rochester, MN","Rochester-Mason City-Austin, MN-IA",ROCHESTER-MASON CITY-AUSTIN
612,"Shreveport, LA","Shreveport, LA",SHREVEPORT
613,"Minneapolis, MN","Minneapolis-St. Paul, MN",MINNEAPOLIS-ST. PAUL
616,"Kansas City, MO","Kansas City, MO-KS",KANSAS CITY
617,"Milwaukee, WI","Milwaukee, WI",MILWAUKEE
618,"Houston, TX","Houston, TX",HOUSTON
619,"Springfield, MO","Springfield, MO",SPRINGFIELD
622,"New Orleans, LA","New Orleans, LA",NEW ORLEANS
623,"Dallas, TX","Dallas-Ft. Worth, TX",DALLAS-FORT WORTH
624,"Sioux City, IA","Sioux City, IA",SIOUX CITY
625,"Waco, TX","Waco-Temple-Bryan, TX",WACO-TEMPLE-BRYAN
626,"Victoria, TX","Victoria, TX",VICTORIA
627,"Wichita Falls, TX","Wichita Falls-Lawton, TX-OK",WICHITA FALLS & LAWTON
628,"Monroe, LA","Monroe-El Dorado, LA-AR","MONROE, LA-EL DORADO"
630,"Birmingham, AL","Birmingham-Anniston-Tuscaloosa, AL",BIRMINGHAM (ANNISTON AND TUSCALOOSA)
631,"Ottumwa, IA","Ottumwa-Kirksville, IA-MO","OTTUMWA, IA-KIRKSVILLE"
632,"Paducah, KY","Paducah-Cape Girardeau-Harrisburg-Mt. Vernon, KY-MO-IL",PADUCAH-CAPE GIRARDEAU-HARRISBURG
633,"Odessa, TX","Odessa-Midland, TX",ODESSA-MIDLAND
634,"Amarillo, TX","Amarillo, TX",AMARILLO
635,"Austin, TX","Austin, TX",AUSTIN
636,"Harlingen, TX","Harlingen-Weslaco-Brownsville-McAllen, TX",HARLINGEN-WESLACO-BROWNSVILLE-MCALLEN
637,"Cedar Rapids, IA","Cedar Rapids-Waterloo-Dubuque, IA",CEDAR RAPIDS-WATERLOO-IOWA CITY & DUBUQUE
638,"St. Joseph, MO","St. Joseph, MO",ST. JOSEPH
639,"Jackson, TN","Jackson, TN",JACKSON
640,"Memphis, TN","Memphis, TN",MEMPHIS
641,"San Antonio, TX","San Antonio, TX",SAN ANTONIO
642,"Lafayette, LA","Lafayette, LA",LAFAYETTE
643,"Lake Charles, LA","Lake Charles, LA",LAKE CHARLES
644,"Alexandria, LA","Alexandria, LA",ALEXANDRIA
